,Unnamed: 0,Date,MPAN/MPR,Total Energy Consumption (kWh),Total Adjusted Energy Consumption (kWh),Total Energy Charge (GBP),Total CCL Charge (GBP),Total Standing Charge (GBP),Total VAT Charge (GBP),Total Net (GBP),Total Gross (GBP)
0,0,2022-11-01,9876,31491.8992225324,32869.72,4639.59,244.06,600.37,1100.9,5484.02,6584.92
1,1,2022-10-01,9876,26523.0030669729,27684.56,3886.4,205.55,530.62,912.84,4622.57,5535.41
2,2,2023-01-01,5432,1071.4,1071.4,201.24,8.3,25.31,46.89,234.85,281.74
3,3,2022-12-01,5432,1049.4,1049.4,197.11,8.13,25.31,48.06,230.55,278.61
4,4,2022-11-01,5432,984.7,984.7,184.96,0.0,24.5,10.51,209.46,219.97
5,5,2022-09-01,9876,23591.0973181861,24624.53,3462.05,182.83,511.21,831.22,4156.09,4987.31
6,6,2022-10-01,5432,1002.6,1002.6,188.32,0.0,25.31,10.6,213.63,224.23
7,7,2022-12-01,9876,40919.8957907492,42712.88,5987.72,317.13,707.03,1458.92,7011.88,8470.8
8,8,2023-01-01,9876,36067.9968431994,37646.23,5306.51,279.53,693.39,1253.69,6279.43,7533.12
9,9,2023-02-01,9876,31961.197989327,33362.63,4667.14,247.7,540.78,1124.25,5455.62,6579.87
10,10,2023-02-01,5432,986.2,986.2,185.24,7.64,22.87,44.3,215.75,260.05
11,11,2023-02-01,1098,131813.846805001,135273.48,19980.14,919.4,14883.13,6823.04,35782.67,42605.71
12,12,2023-03-01,1098,145326.79374083,148787.48,21952.6,1013.65,14375.78,10596.4,57360.05,67956.45
13,13,2023-03-01,9876,32613.898089604,34044.07,4764.75,252.76,580.39,499.55,2497.8,2997.35
14,14,2023-04-01,5432,1053.4,1053.4,270.36,8.16,25.87,60.88,304.39,365.27
15,15,2023-04-01,9876,26474.0028763183,28848.13,5368.41,205.17,449.26,1204.56,6022.84,7227.4
16,16,2023-04-01,1098,115505.500779721,121063.67,23776.0,805.65,16657.62,7641.35,41239.27,48880.62
17,17,2023-05-01,5432,1040.3,1040.3,267.0,8.06,26.73,58.94,301.79,360.73
18,18,2023-05-01,9876,23444.5023914323,25543.79874,4793.21,181.69,464.22,1072.73,5439.12,6511.85
19,19,2023-05-01,1098,706331.499415209,739960.06996,141150.99,4926.66,17209.2,30218.8,163286.85,193505.65
20,20,2023-06-01,1098,283151.496089928,296673.71992,56950.19,1974.98,16656.99,14012.33,75582.16,89594.49
21,21,2023-06-01,5432,1252.9,1252.9,321.56,9.71,25.87,71.43,357.14,428.57
22,22,2023-06-01,9876,23081.0029716456,25147.00819,4725.73,178.88,449.27,1070.78,5353.88,6424.66
23,23,2023-07-01,1098,159758.806644447,167410.65284,32403.24,1114.32,17211.28,9249.93,50728.84,59978.77
24,24,2023-07-01,9876,28042.0980808046,30553.72336,5719.58,217.33,464.22,1253.66,6401.13,7654.79
25,25,2023-07-01,5432,1052.4,1052.4,270.1,8.16,26.73,60.07,304.99,365.06
26,26,2023-08-01,9876,28826.6951212582,31408.22,5893.91,223.41,464.25,1287.24,6581.57,7868.81
27,27,2023-08-01,1098,156362.802543267,163876.83,32186.91,1090.63,17210.81,8992.57,50488.35,59480.92
28,28,2023-08-01,5432,1011.0,1011.0,259.48,0.0,26.73,14.05,286.21,300.26
29,29,2023-09-01,1098,156881.702352923,164420.64,32223.64,1094.25,16653.99,8824.85,49971.88,58796.73
30,30,2023-09-01,5432,1016.4,1016.4,260.86,7.88,25.87,57.3,294.61,351.91
31,31,2023-09-01,9876,29001.9998936734,31598.71,5924.95,224.77,449.26,1279.92,6598.98,7878.9
32,32,2023-10-01,9876,29005.399045627,31603.25,5918.2,224.79,464.22,1278.58,6607.21,7885.79
33,33,2023-10-01,5432,1048.9,1048.9,269.21,8.13,26.73,59.01,304.07,363.08
34,34,2023-10-01,1098,137288.297264861,143909.18,28407.04,957.59,17210.81,8322.0,46575.44,54897.44
35,35,2023-11-01,5432,1088.4,1088.4,279.34,8.44,25.87,61.12,313.65,374.77
36,36,2023-11-01,9876,32060.100469487,34932.31,6538.59,248.47,449.28,1407.25,7236.34,8643.59
37,37,2023-11-01,1098,218104.404888237,229561.81,44753.34,1521.28,16655.48,11490.28,62930.1,74420.38
38,38,2023-12-01,9876,35972.0950193313,39195.5563,7317.88,278.78,464.33,1565.39,8060.99,9626.38
39,39,2023-12-01,1098,942953.312430345,990475.3097,187861.8,6577.1,17208.11,39105.46,211647.01,250752.47
40,40,2023-12-01,5432,1146.6,1146.6,294.28,8.89,33.38,65.63,336.55,402.18
41,41,2024-01-01,9876,36559.1969407266,39831.61,7483.09,283.33,464.24,1586.72,8230.66,9817.38
42,42,2024-01-01,5432,1137.9,1137.9,292.05,8.82,33.38,64.8,334.25,399.05
43,43,2024-01-01,1098,624530.32421234,656381.0,125305.21,4356.1,17208.11,26998.2,146869.42,173867.62
