,Unnamed: 0,period_from,mpr,account_no,consumption_kWh,cost_per_meter,ccl_total,standing_charge,net_charge,vat_total,total_gas_sales
0,0,2021-07-01,1234,3006320218.0,472.0,10.09,0.0,37.2,47.29,2.36,49.65
1,1,2021-08-01,5678,3006406986.0,38914.5,901.1,180.95,489.18,1571.23,314.25,1885.48
2,2,2022-04-01,9012,3006449314.0,13558.1,465.0,77.01,173.7,715.71,143.14,858.85
3,3,2022-10-01,1234,3006320218.0,2003.0,62.51,0.0,52.08,114.59,5.73,120.32
4,4,2022-09-01,1234,3006320218.0,646.1,29.28,0.0,50.4,79.68,3.98,83.66
5,5,2022-11-01,5678,3006406986.0,128505.5,3595.33,729.91,919.8,5245.04,1049.01,6294.05
6,6,2021-10-01,1234,3006320218.0,2117.8,32.25,0.0,37.2,69.45,3.47,72.92
7,7,2021-03-01,1234,3006320218.0,3737.2,57.28,0.0,25.73,83.01,4.15,87.16
8,8,2022-08-01,9012,3006449314.0,0.0,0.0,0.0,179.49,179.49,8.97,188.46
9,9,2022-01-01,3456,3006320196.0,6000.3,160.24,27.9,44.64,232.78,46.56,279.34
10,10,2022-08-01,5678,3006406986.0,31481.5,429.85,178.81,950.46,1559.12,311.82,1870.94
11,11,2022-01-01,9012,3006449314.0,17167.4,457.46,79.83,137.33,674.62,134.93,809.55
12,12,2022-09-01,7890,3006406997.0,1461769.1,66254.68,8302.85,1842.0,76399.53,15279.91,91679.44
13,13,2022-05-01,3456,3006320196.0,1166.1,43.68,0.0,59.21,102.89,5.14,108.03
14,14,2021-02-01,3456,3006320196.0,5423.0,86.75,22.02,40.32,149.09,29.81,178.9
15,15,2022-08-01,3456,3006320196.0,0.0,0.0,0.0,59.21,59.21,2.96,62.17
16,16,2021-05-01,5678,3006406986.0,113285.5,1964.82,526.78,489.18,2980.78,596.16,3576.94
17,17,2022-05-01,5678,3006406986.0,70754.3,2644.8,401.88,950.46,3997.14,799.43,4796.57
18,18,2022-02-01,7890,3006406997.0,3923688.1,94337.23,18245.15,5260.92,117843.3,23568.67,141411.97
19,19,2022-02-01,3456,3006320196.0,4980.0,120.43,23.16,40.32,183.91,36.78,220.69
20,20,2022-05-01,1234,3006320218.0,1596.3,59.79,0.0,52.08,111.87,5.59,117.46
21,21,2021-10-01,5678,3006406986.0,87871.1,1332.04,408.6,489.18,2229.82,445.97,2675.79
22,22,2021-02-01,5678,3006406986.0,156950.0,2499.74,637.22,396.2,3533.16,706.63,4239.79
23,23,2022-02-01,9012,3006449314.0,15330.7,369.82,71.29,124.04,565.15,113.03,678.18
24,24,2021-04-01,5678,3006406986.0,130527.4,2100.58,606.95,473.4,3180.93,636.19,3817.12
25,25,2021-09-01,3456,3006320196.0,1220.6,25.33,0.0,43.2,68.53,3.43,71.96
26,26,2021-09-01,9012,3006449314.0,5957.3,123.26,27.7,132.9,283.86,56.77,340.63
27,27,2022-11-01,3456,3006320196.0,4453.2,124.94,25.29,57.3,207.53,41.51,249.04
28,28,2023-01-01,5678,3006406986.0,169278.4,5223.76,961.5,950.46,7135.72,1427.14,8562.86
29,29,2022-10-01,5678,3006406986.0,102939.2,3204.6,584.69,950.46,4739.75,947.95,5687.7
